subset,n_personas,point,ci_low,ci_high,label
all personas of the primary stratum,5,0.00527,-0.00727,0.02618,descriptive; not part of the primary classification
all except normal@0.60,5,0.00527,-0.00727,0.02619,descriptive; not part of the primary classification
