run_id,attack,config,rep,criteria_met,failed_criteria,status,exit_code,wall_s,host_ok
SEC-03.shipped.r4,SEC-03,shipped,4,True,,compilation_error,,1.17,True
SEC-03.shipped.r5,SEC-03,shipped,5,True,,compilation_error,,1.042,True
SEC-04.shipped.r1,SEC-04,shipped,1,True,,runtime_error,139,1.655,True
SEC-04.shipped.r2,SEC-04,shipped,2,True,,runtime_error,139,1.653,True
SEC-04.shipped.r3,SEC-04,shipped,3,True,,runtime_error,139,1.606,True
SEC-04.shipped.r4,SEC-04,shipped,4,True,,runtime_error,139,1.619,True
SEC-04.shipped.r5,SEC-04,shipped,5,True,,runtime_error,139,1.65,True
SEC-05.shipped.r1,SEC-05,shipped,1,True,,timeout,124,3.651,True
SEC-05.shipped.r2,SEC-05,shipped,2,True,,timeout,124,3.629,True
SEC-05.shipped.r3,SEC-05,shipped,3,True,,timeout,124,3.78,True
SEC-05.shipped.r4,SEC-05,shipped,4,True,,timeout,124,3.636,True
SEC-05.shipped.r5,SEC-05,shipped,5,True,,timeout,124,3.638,True
SEC-05.permissive.r1,SEC-05,permissive,1,False,within_cpu_bound,timeout,124,15.0,True
SEC-05.permissive.r2,SEC-05,permissive,2,False,within_cpu_bound,timeout,124,13.837,True
SEC-05.permissive.r3,SEC-05,permissive,3,False,within_cpu_bound,timeout,124,13.925,True
SEC-05.permissive.r4,SEC-05,permissive,4,False,within_cpu_bound,timeout,124,13.77,True
SEC-05.permissive.r5,SEC-05,permissive,5,False,within_cpu_bound,timeout,124,13.925,True
SEC-06.shipped.r1,SEC-06,shipped,1,True,,memory_limit,137,2.289,True
SEC-06.shipped.r2,SEC-06,shipped,2,True,,memory_limit,137,2.214,True
SEC-06.shipped.r3,SEC-06,shipped,3,True,,memory_limit,137,1.852,True
SEC-06.shipped.r4,SEC-06,shipped,4,True,,memory_limit,137,1.793,True
SEC-06.shipped.r5,SEC-06,shipped,5,True,,memory_limit,137,1.793,True
SEC-06.permissive.r1,SEC-06,permissive,1,False,killed;did_not_complete_touch,wrong_answer,0,1.77,True
