seed,timestep,episode,latest_reward,mean_reward_rolling,action_easier_pct,action_same_pct,action_harder_pct
999,256,17,0.4266,-0.0209,0.3516,0.3281,0.3203
999,512,34,0.3203,0.1364,0.3379,0.332,0.3301
999,768,51,-0.24,0.0586,0.3346,0.3281,0.3372
999,1024,68,0.2354,0.1067,0.3301,0.3223,0.3477
999,1280,85,0.2056,0.0235,0.3359,0.318,0.3461
999,1536,102,0.142,0.0287,0.3385,0.3184,0.3431
999,1792,119,0.1689,0.0762,0.3421,0.3231,0.3348
999,2048,136,-0.3399,0.0704,0.3398,0.3286,0.3315
999,2304,153,0.3557,0.0924,0.3359,0.3299,0.3342
999,2560,170,0.1529,0.1267,0.3359,0.3328,0.3312
999,2816,187,0.2036,-0.005,0.3374,0.3292,0.3335
999,3072,204,0.3834,0.0468,0.3356,0.3294,0.335
999,3328,221,-0.6507,0.1115,0.3341,0.3287,0.3371
999,3584,238,0.3065,0.0705,0.3301,0.3315,0.3384
999,3840,256,0.3051,0.1242,0.3297,0.331,0.3393
999,4096,273,-0.1408,0.0796,0.3279,0.3306,0.3416
999,4352,290,-0.2286,0.1478,0.3219,0.335,0.3431
999,4608,307,-0.1944,0.0151,0.3192,0.3381,0.3427
999,4864,324,0.2202,0.0132,0.3133,0.3454,0.3413
999,5120,341,0.142,0.0634,0.3102,0.3451,0.3447
999,5376,358,0.1557,0.1518,0.3069,0.3469,0.3462
999,5632,375,0.1528,0.0454,0.3027,0.3494,0.3478
999,5888,392,0.221,0.094,0.3008,0.3519,0.3473
999,6144,409,0.3338,0.1088,0.3005,0.3524,0.3472
999,6400,426,0.2201,0.0844,0.2991,0.3547,0.3463
999,6656,443,0.291,0.1853,0.2975,0.3594,0.3431
999,6912,460,0.2787,0.1288,0.2957,0.3623,0.342
999,7168,477,0.2937,0.0979,0.2935,0.3643,0.3422
999,7424,494,0.2076,0.096,0.2927,0.3648,0.3425
999,7680,512,0.3103,0.1284,0.2909,0.3664,0.3427
999,7936,529,0.3105,0.0929,0.2883,0.369,0.3427
999,8192,546,-0.2047,0.1178,0.2865,0.3705,0.343
999,8448,563,0.1617,0.1057,0.2844,0.372,0.3435
999,8704,580,0.2477,0.1881,0.2816,0.3756,0.3428
999,8960,597,0.1439,0.1731,0.2783,0.3785,0.3432
999,9216,614,0.2082,0.0934,0.2765,0.3827,0.3408
999,9472,631,0.3131,0.1385,0.275,0.3853,0.3396
999,9728,648,-0.6276,0.0884,0.2726,0.3872,0.3402
999,9984,665,0.3042,0.1419,0.271,0.3897,0.3392
999,10240,682,0.3173,0.0848,0.2701,0.3919,0.338
999,10496,699,0.346,0.1359,0.2671,0.3959,0.3371
999,10752,716,0.3169,0.1427,0.2655,0.3975,0.337
999,11008,733,0.22,0.1936,0.2633,0.4012,0.3356
999,11264,750,0.2631,0.1633,0.2611,0.4047,0.3343
999,11520,768,0.1701,0.1498,0.2591,0.4073,0.3336
999,11776,785,0.3116,0.1616,0.2581,0.4091,0.3329
999,12032,802,0.2357,0.1798,0.2568,0.4104,0.3328
999,12288,819,-0.2868,0.2182,0.255,0.4132,0.3318
999,12544,836,0.1866,0.1677,0.2539,0.4147,0.3314
999,12800,853,-0.2736,0.1395,0.2517,0.4182,0.3301
999,13056,870,0.1255,0.2138,0.2497,0.4216,0.3287
999,13312,887,0.3057,0.1724,0.2485,0.4233,0.3282
999,13568,904,0.2979,0.1594,0.2471,0.4258,0.3271
999,13824,921,0.2908,0.173,0.2448,0.4291,0.3261
