configuration,formula,n,spearman_rho,spearman_p,spearman_ci95_low,spearman_ci95_high,pearson_r,pearson_p,pearson_ci95_low,pearson_ci95_high,kendall_tau,kendall_p,kendall_ci95_low,kendall_ci95_high,mae,mae_ci95_low,mae_ci95_high,rmse,rmse_ci95_low,rmse_ci95_high
S1 only (Semantic),1.00 * S1,64,0.207,0.10068,-0.0317,0.4125,0.243,0.05303,0.0012,0.4464,0.1406,0.10322,-0.0271,0.2905,0.3171,0.2605,0.3754,0.3985,0.3352,0.4591
S2 only (FAISS),1.00 * S2,64,0.3021,0.015273,0.0492,0.5337,0.3324,0.0072761,0.0786,0.554,0.2562,0.0078268,0.0467,0.4497,0.3251,0.256,0.4007,0.4421,0.3586,0.521
R only (CrossEncoder),1.00 * R,64,0.4832,5.2494e-05,0.2501,0.6762,0.508,1.8298e-05,0.3036,0.6717,0.3492,5.1782e-05,0.1738,0.5075,0.2763,0.242,0.3136,0.3125,0.2765,0.3489
S1 + S2 (0.30/0.70),0.30 * S1 + 0.70 * S2,64,0.2894,0.020369,0.047,0.4956,0.324,0.0090138,0.0687,0.5449,0.2111,0.014404,0.0413,0.3734,0.3042,0.239,0.3758,0.4159,0.336,0.4917
S1 + R (0.23/0.77),0.23 * S1 + 0.77 * R,64,0.4884,4.2437e-05,0.2624,0.6751,0.5137,1.4185e-05,0.3163,0.6805,0.346,6.0076e-05,0.1775,0.5046,0.279,0.2415,0.3176,0.3198,0.2795,0.3603
S2 + R (0.41/0.59),0.41 * S2 + 0.59 * R,64,0.4171,0.00060678,0.1978,0.6124,0.454,0.00016468,0.2388,0.6322,0.314,0.00027115,0.1565,0.4734,0.2674,0.2198,0.3196,0.3337,0.2756,0.3888
Full Composite (0.15/0.35/0.50),0.15*S1 + 0.35*S2_eff + 0.50*R + bonus - penalty,64,0.3812,0.0018863,0.1575,0.5774,0.4042,0.00092455,0.1846,0.596,0.2715,0.0017272,0.1168,0.4295,0.292,0.2431,0.3457,0.3601,0.3008,0.4184
