run_id,attack,config,rep,criteria_met,failed_criteria,status,exit_code,wall_s,host_ok
SEC-07.permissive.r3,SEC-07,permissive,3,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.195,False
SEC-07.permissive.r4,SEC-07,permissive,4,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.275,False
SEC-07.permissive.r5,SEC-07,permissive,5,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.145,False
SEC-08.shipped.r1,SEC-08,shipped,1,True,,wrong_answer,0,1.827,True
SEC-08.shipped.r2,SEC-08,shipped,2,True,,wrong_answer,0,1.821,True
SEC-08.shipped.r3,SEC-08,shipped,3,True,,wrong_answer,0,1.73,True
SEC-08.shipped.r4,SEC-08,shipped,4,True,,wrong_answer,0,1.722,True
SEC-08.shipped.r5,SEC-08,shipped,5,True,,wrong_answer,0,1.722,True
SEC-08.permissive.r1,SEC-08,permissive,1,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.774,True
SEC-08.permissive.r2,SEC-08,permissive,2,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.795,True
SEC-08.permissive.r3,SEC-08,permissive,3,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.88,True
SEC-08.permissive.r4,SEC-08,permissive,4,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.865,True
SEC-08.permissive.r5,SEC-08,permissive,5,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.796,True
SEC-09.shipped.r1,SEC-09,shipped,1,True,,wrong_answer,0,2.027,True
SEC-09.shipped.r2,SEC-09,shipped,2,True,,wrong_answer,0,1.697,True
SEC-09.shipped.r3,SEC-09,shipped,3,True,,wrong_answer,0,1.752,True
SEC-09.shipped.r4,SEC-09,shipped,4,True,,wrong_answer,0,1.697,True
SEC-09.shipped.r5,SEC-09,shipped,5,True,,wrong_answer,0,1.604,True
SEC-09.permissive.r1,SEC-09,permissive,1,False,canary_write_refused;host_unchanged,wrong_answer,0,1.771,False
SEC-09.permissive.r2,SEC-09,permissive,2,False,canary_write_refused,wrong_answer,0,1.726,True
SEC-09.permissive.r3,SEC-09,permissive,3,False,canary_write_refused,wrong_answer,0,1.769,True
SEC-09.permissive.r4,SEC-09,permissive,4,False,canary_write_refused,wrong_answer,0,1.786,True
SEC-09.permissive.r5,SEC-09,permissive,5,False,canary_write_refused,wrong_answer,0,1.617,True
