run_id,condition_id,seed,mean_score,score_variance,adaptation_rho,followups,timing_modifier
EXP5_minus_speech_prosody_3007,minus_speech_prosody,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_speech_prosody_3008,minus_speech_prosody,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_speech_prosody_3009,minus_speech_prosody,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_speech_prosody_3010,minus_speech_prosody,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_coding_contribution_3001,minus_coding_contribution,3001,0.4999,0.0009,0.0,1,0.0
EXP5_minus_coding_contribution_3002,minus_coding_contribution,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_coding_contribution_3003,minus_coding_contribution,3003,0.5209,0.0066,0.172,1,0.0
EXP5_minus_coding_contribution_3004,minus_coding_contribution,3004,0.4907,0.0009,0.0,2,0.0
EXP5_minus_coding_contribution_3005,minus_coding_contribution,3005,0.5107,0.0062,0.0344,1,0.0
EXP5_minus_coding_contribution_3006,minus_coding_contribution,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_coding_contribution_3007,minus_coding_contribution,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_coding_contribution_3008,minus_coding_contribution,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_coding_contribution_3009,minus_coding_contribution,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_coding_contribution_3010,minus_coding_contribution,3010,0.4951,0.0005,0.0,0,0.0
