run_id,controller_id,persona,seed,mean_score,score_variance,adaptation_rho,slope,oscillations,guardrails
EXP1_fixed_difficulty_struggling_junior_1003,fixed_difficulty,struggling_junior,1003,0.0442,0.001,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1004,fixed_difficulty,struggling_junior,1004,0.0622,0.0011,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1005,fixed_difficulty,struggling_junior,1005,0.0652,0.0018,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1006,fixed_difficulty,struggling_junior,1006,0.057,0.0013,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1007,fixed_difficulty,struggling_junior,1007,0.0759,0.0017,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1008,fixed_difficulty,struggling_junior,1008,0.0485,0.0013,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1009,fixed_difficulty,struggling_junior,1009,0.0555,0.0014,0.0,-0.0,0,0
EXP1_fixed_difficulty_struggling_junior_1010,fixed_difficulty,struggling_junior,1010,0.0473,0.0006,0.0,-0.0,0,0
EXP1_rule_based_heuristic_normal_1001,rule_based_heuristic,normal,1001,0.6657,0.0113,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1002,rule_based_heuristic,normal,1002,0.6548,0.0091,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1003,rule_based_heuristic,normal,1003,0.6507,0.011,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1004,rule_based_heuristic,normal,1004,0.6617,0.0092,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1005,rule_based_heuristic,normal,1005,0.6646,0.0106,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1006,rule_based_heuristic,normal,1006,0.6636,0.0108,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1007,rule_based_heuristic,normal,1007,0.6666,0.0078,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1008,rule_based_heuristic,normal,1008,0.6584,0.0085,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1009,rule_based_heuristic,normal,1009,0.6581,0.0113,0.0,-0.025,0,0
EXP1_rule_based_heuristic_normal_1010,rule_based_heuristic,normal,1010,0.644,0.0103,0.0,-0.025,0,0
EXP1_rule_based_heuristic_nervous_expert_1001,rule_based_heuristic,nervous_expert,1001,0.8229,0.0001,-0.3608,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1002,rule_based_heuristic,nervous_expert,1002,0.829,0.0002,-0.4655,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1003,rule_based_heuristic,nervous_expert,1003,0.8339,0.0002,-0.2463,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1004,rule_based_heuristic,nervous_expert,1004,0.8343,0.0004,-0.4655,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1005,rule_based_heuristic,nervous_expert,1005,0.8306,0.0002,-0.3223,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1006,rule_based_heuristic,nervous_expert,1006,0.8306,0.0003,-0.4953,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1007,rule_based_heuristic,nervous_expert,1007,0.8283,0.0007,-0.5212,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1008,rule_based_heuristic,nervous_expert,1008,0.8294,0.0003,-0.5212,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1009,rule_based_heuristic,nervous_expert,1009,0.8271,0.0001,-0.4655,0.0714,0,0
EXP1_rule_based_heuristic_nervous_expert_1010,rule_based_heuristic,nervous_expert,1010,0.8283,0.0001,-0.3939,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1001,rule_based_heuristic,lucky_guesser,1001,0.9429,0.0001,0.3096,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1002,rule_based_heuristic,lucky_guesser,1002,0.9461,0.0002,0.0344,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1003,rule_based_heuristic,lucky_guesser,1003,0.9544,0.0003,0.1032,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1004,rule_based_heuristic,lucky_guesser,1004,0.9508,0.0003,0.172,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1005,rule_based_heuristic,lucky_guesser,1005,0.9529,0.0002,0.3784,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1006,rule_based_heuristic,lucky_guesser,1006,0.9525,0.0001,-0.3096,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1007,rule_based_heuristic,lucky_guesser,1007,0.9438,0.0001,-0.3784,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1008,rule_based_heuristic,lucky_guesser,1008,0.9431,0.0003,0.1032,0.0714,0,0
EXP1_rule_based_heuristic_lucky_guesser_1009,rule_based_heuristic,lucky_guesser,1009,0.9487,0.0001,-0.1032,0.0714,0,0
