seed,timestep,episode,latest_reward,mean_reward_rolling,action_easier_pct,action_same_pct,action_harder_pct
789,256,17,0.4273,0.0195,0.3438,0.3711,0.2852
789,512,34,0.2892,0.0663,0.3457,0.3379,0.3164
789,768,51,0.2759,0.0951,0.3542,0.3477,0.2982
789,1024,68,0.3728,0.0279,0.3398,0.3447,0.3154
789,1280,85,0.283,0.1092,0.3422,0.3398,0.318
789,1536,102,0.2953,0.0382,0.3366,0.347,0.3164
789,1792,119,0.2231,0.0069,0.3359,0.3504,0.3136
789,2048,136,-0.2218,0.0473,0.3369,0.3481,0.3149
789,2304,153,0.3156,0.0777,0.3342,0.3498,0.316
789,2560,170,-0.1992,0.0402,0.3309,0.3523,0.3168
789,2816,187,0.3384,0.0937,0.3331,0.3459,0.321
789,3072,204,0.3153,0.0592,0.3255,0.3457,0.3288
789,3328,221,-0.2493,-0.042,0.3254,0.3465,0.3281
789,3584,238,0.346,0.0868,0.3228,0.3471,0.3301
789,3840,256,0.3015,0.0902,0.3258,0.3432,0.331
789,4096,273,-0.1365,0.0623,0.3284,0.3411,0.3306
789,4352,290,-0.5653,0.1352,0.3238,0.3424,0.3339
789,4608,307,-0.3261,0.0033,0.322,0.3431,0.3349
789,4864,324,-0.5873,0.0569,0.3213,0.3446,0.3341
789,5120,341,0.2321,0.1705,0.3174,0.3473,0.3354
789,5376,358,-0.3425,0.0932,0.3153,0.3501,0.3346
789,5632,375,0.2616,0.0703,0.3114,0.353,0.3356
789,5888,392,0.2957,0.1312,0.3098,0.3543,0.3359
789,6144,409,0.162,0.1293,0.3096,0.3547,0.3358
789,6400,426,0.3845,0.0708,0.3059,0.3578,0.3362
789,6656,443,0.3418,0.1212,0.302,0.3619,0.3361
789,6912,460,0.3537,0.1105,0.2988,0.3657,0.3355
789,7168,477,0.3159,0.0915,0.2952,0.3683,0.3365
789,7424,494,0.317,0.1574,0.2932,0.3691,0.3377
789,7680,512,0.3195,0.118,0.2915,0.3714,0.3371
789,7936,529,0.3144,0.0845,0.2902,0.3731,0.3367
789,8192,546,0.3621,0.1044,0.2867,0.3762,0.337
789,8448,563,-0.2341,0.1146,0.2846,0.3778,0.3376
789,8704,580,0.2728,0.1564,0.2833,0.3786,0.3381
789,8960,597,0.187,0.1153,0.2805,0.3812,0.3383
789,9216,614,-0.6154,0.1327,0.2796,0.3829,0.3375
789,9472,631,0.2442,0.1726,0.2782,0.3849,0.3369
789,9728,648,-0.6078,0.1272,0.2763,0.387,0.3367
789,9984,665,0.1847,0.1534,0.2749,0.3891,0.3359
789,10240,682,0.2419,0.053,0.2733,0.3902,0.3364
789,10496,699,0.3139,0.113,0.2715,0.3931,0.3354
789,10752,716,0.3111,0.14,0.2684,0.3971,0.3344
789,11008,733,0.2977,0.1436,0.2654,0.3998,0.3348
789,11264,750,0.2738,0.1611,0.2626,0.4031,0.3343
789,11520,768,0.2146,0.1011,0.2609,0.4057,0.3334
789,11776,785,0.3729,0.139,0.259,0.408,0.333
789,12032,802,0.2253,0.1722,0.2573,0.4097,0.333
789,12288,819,0.1604,0.1929,0.2559,0.4118,0.3323
789,12544,836,0.2678,0.1768,0.2534,0.4146,0.332
789,12800,853,-0.2799,0.128,0.2513,0.4172,0.3315
789,13056,870,0.1279,0.2197,0.2495,0.4194,0.3311
789,13312,887,0.2022,0.0769,0.2475,0.4229,0.3296
789,13568,904,0.3317,0.1107,0.2467,0.4245,0.3289
789,13824,921,0.2695,0.1312,0.2449,0.4265,0.3286
789,14080,938,0.2777,0.1428,0.2434,0.4281,0.3286
