experiment,configuration,n,spearman_rho,spearman_p,pearson_r,kendall_tau,mae,rmse
EXP-EVAL-1,S1 only (Semantic),20,0.5646,0.0094989,0.5925,0.3905,0.2635,0.3298
EXP-EVAL-1,S2 only (FAISS),20,0.5236,0.01783,0.602,0.4446,0.23,0.3417
EXP-EVAL-1,R only (CrossEncoder),20,0.7422,0.00017923,0.7357,0.5644,0.2551,0.291
EXP-EVAL-1,S1 + S2 (0.30/0.70),20,0.6236,0.0033044,0.6178,0.4697,0.2168,0.318
EXP-EVAL-1,S1 + R (0.23/0.77),20,0.7053,0.00051409,0.7404,0.5221,0.257,0.2945
EXP-EVAL-1,S2 + R (0.41/0.59),20,0.6611,0.0015031,0.6682,0.5122,0.2223,0.2892
EXP-EVAL-1,Full Composite (0.15/0.35/0.50),20,0.6975,0.00062888,0.729,0.5018,0.2245,0.3039
