training_seed,easier,same,harder,total_timesteps
42,0.1901,0.5069,0.303,24576
123,0.2004,0.513,0.2865,24576
456,0.1834,0.5345,0.2821,24576
789,0.1917,0.5168,0.2915,24576
999,0.1936,0.5247,0.2817,24576
