metric,mean,sd_ddof0,sd_ddof1,stored_string
tracking MAE (5 seeds),0.677,0.0052,0.0058,0.677 +/- 0.006
volatility (5 seeds),0.1864,0.068,0.076,0.186 +/- 0.068
oscillation (5 seeds),0.1604,0.0775,0.0866,0.160
