seed,timestep,episode,latest_reward,mean_reward_rolling,action_easier_pct,action_same_pct,action_harder_pct
456,256,17,0.344,0.0086,0.3633,0.3125,0.3242
456,512,34,0.3446,0.0109,0.373,0.3184,0.3086
456,768,51,0.3299,0.0359,0.3737,0.3203,0.306
456,1024,68,-0.2599,0.0875,0.3672,0.3232,0.3096
456,1280,85,0.376,0.1248,0.3609,0.318,0.3211
456,1536,102,-0.378,0.1266,0.3522,0.3105,0.3372
456,1792,119,-0.1686,0.0063,0.3488,0.3158,0.3354
456,2048,136,-0.342,0.0464,0.3418,0.3237,0.3345
456,2304,153,-0.3439,0.0769,0.3372,0.3277,0.3351
456,2560,170,-0.3527,0.0731,0.3359,0.327,0.3371
456,2816,187,-0.2063,0.0604,0.3342,0.3235,0.3423
456,3072,204,0.3428,0.0751,0.3298,0.3271,0.3431
456,3328,221,0.3517,0.0648,0.3305,0.3275,0.3419
456,3584,238,-0.5695,0.0838,0.3253,0.3329,0.3418
456,3840,256,0.2189,0.1525,0.3258,0.3339,0.3404
456,4096,273,0.4027,0.0825,0.3252,0.3325,0.3423
456,4352,290,0.325,0.1748,0.3226,0.3343,0.3431
456,4608,307,-0.262,0.056,0.3194,0.3362,0.3444
456,4864,324,0.297,0.079,0.3156,0.339,0.3454
456,5120,341,-0.2131,0.1245,0.3143,0.3414,0.3443
456,5376,358,-0.1973,0.1517,0.3127,0.3447,0.3426
456,5632,375,0.3035,0.0973,0.3116,0.3461,0.3423
456,5888,392,-0.2257,0.0637,0.3117,0.3468,0.3415
456,6144,409,0.3204,0.0718,0.3117,0.3468,0.3415
456,6400,426,-0.6896,0.0878,0.3094,0.3489,0.3417
456,6656,443,0.2781,0.0493,0.3063,0.352,0.3416
456,6912,460,0.2762,0.0946,0.3037,0.3533,0.343
456,7168,477,0.3248,0.113,0.3025,0.356,0.3415
456,7424,494,-0.3044,0.1031,0.2997,0.3592,0.3411
456,7680,512,0.2386,0.1535,0.2961,0.3633,0.3406
456,7936,529,0.3689,0.1003,0.2944,0.3653,0.3403
456,8192,546,-0.2403,0.1601,0.293,0.3666,0.3405
456,8448,563,-0.3014,0.1905,0.2895,0.3709,0.3396
456,8704,580,0.1805,0.1772,0.2866,0.3737,0.3396
456,8960,597,0.2099,0.1703,0.2837,0.3772,0.3391
456,9216,614,0.1525,0.0969,0.2821,0.3798,0.3381
456,9472,631,-0.225,0.1314,0.2803,0.3836,0.3361
456,9728,648,0.2626,0.1604,0.2777,0.3867,0.3356
456,9984,665,-0.2419,0.1136,0.2754,0.3878,0.3367
456,10240,682,-0.4979,0.1151,0.2737,0.3898,0.3364
456,10496,699,0.2857,0.2012,0.2706,0.395,0.3344
456,10752,716,0.1994,0.137,0.2683,0.3978,0.3339
456,11008,733,0.2963,0.161,0.2655,0.4018,0.3327
456,11264,750,-0.2821,0.127,0.2638,0.4052,0.3311
456,11520,768,0.309,0.1696,0.2627,0.4071,0.3302
456,11776,785,0.2968,0.1574,0.2612,0.4091,0.3297
456,12032,802,0.2966,0.1579,0.259,0.4118,0.3292
456,12288,819,0.1908,0.2313,0.2576,0.4139,0.3285
456,12544,836,-0.2792,0.1552,0.2552,0.4178,0.327
456,12800,853,0.1237,0.1772,0.2537,0.4201,0.3262
456,13056,870,0.2173,0.193,0.2518,0.4232,0.325
456,13312,887,0.2752,0.1472,0.249,0.4265,0.3245
456,13568,904,0.3628,0.1743,0.2468,0.4297,0.3235
456,13824,921,0.3009,0.0928,0.2455,0.4318,0.3227
456,14080,938,0.2644,0.1758,0.2428,0.4348,0.3224
456,14336,955,0.2649,0.218,0.2406,0.4378,0.3216
456,14592,972,0.2441,0.1787,0.2384,0.4415,0.3201
456,14848,989,0.2611,0.1876,0.2361,0.445,0.3188
456,15104,1006,0.2926,0.2097,0.2341,0.4481,0.3178
456,15360,1024,0.2866,0.1987,0.232,0.4507,0.3173
456,15616,1041,0.2939,0.2177,0.2304,0.4536,0.316
456,15872,1058,0.2405,0.1443,0.2293,0.4554,0.3153
456,16128,1075,0.1481,0.1687,0.2273,0.4586,0.3141
456,16384,1092,0.1449,0.179,0.2253,0.4618,0.3129
456,16640,1109,0.2032,0.1511,0.223,0.4658,0.3112
456,16896,1126,0.2923,0.1725,0.2215,0.4684,0.3101
456,17152,1143,0.2544,0.1923,0.2197,0.4709,0.3094
456,17408,1160,0.1964,0.1997,0.2177,0.4739,0.3084
456,17664,1177,0.2853,0.135,0.2156,0.4775,0.3068
456,17920,1194,0.2782,0.1615,0.2145,0.4795,0.306
