controller,mean_score,score_ci_95,mean_adaptation_rho,rho_ci_95,mean_slope,mean_oscillations
fixed_difficulty,0.4441,"[0.3384, 0.5557]",0.0,"[0.0, 0.0]",0.0,0.0
rule_based_heuristic,0.5797,"[0.4969, 0.6627]",-0.2572,"[-0.3245, -0.1865]",-0.005,0.0
ppo_adaptive,0.5123,"[0.4166, 0.6092]",0.1572,"[0.0796, 0.2377]",-0.0074,3.08
