condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
PPO-state-shuffle | G,42,grid,normal@0.20,0,18018,1.0,0.272727,0.200000,0.000000,1.0,10,2,0,0.800,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.20,0,19019,1.0,0.272727,0.200000,0.000000,1.0,10,2,0,0.800,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.20,0,20020,1.0,0.272727,0.200000,0.000000,1.0,10,2,0,0.800,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,1001,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,2002,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,3003,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,4004,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,5005,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Easier|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,6006,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,7007,1.5,0.590909,0.200000,0.000000,1.0,3,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,8008,1.5,0.590909,0.200000,0.000000,1.0,5,2,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Easier|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,9009,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,10010,1.5,0.590909,0.200000,0.000000,1.0,5,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Easier|Same|Same|Same|Same|Same|Same
